rmort,rmortTB,CDRscaleO,fchild,vchild,rchild,w,pchild,pelderly,padult,n,uiscaleC,relderly,radult,x,fadult,felderly,vadult,CDRscale,e,nelderly,velderly,uiscaleA,uiscaleE,neta,CDRscaleE,p0
-0.6,-0.867321867,0.530909796,0.130025917,0.000133935,0.005847679,0.013102128,0.024318278,0.261758911,0.16660032,0.192606768,1.227214553,0.008690038,0.005240043,0.267424503,0.677623622,0.667337948,0.00021332,0.351676207,0.784739334,0.100520875,0.002699742,0.298593249,0.511784958,2.282330842,-0.084849202,1267142
-0.6,-0.865440617,0.161068895,0.144071863,0.000164034,0.006679835,0.013853088,0.014914115,0.31265016,0.164687577,0.181790423,1.80998751,0.007937052,0.005234256,0.281986912,0.736412768,0.648424896,0.00023633,0.49629844,0.768816603,0.110089638,0.002283748,0.165169921,0.260557817,2.351843336,-0.040046,1267142
-0.6,-0.939997055,-0.456077758,0.147105408,0.000152514,0.005431905,0.013366615,0.019784106,0.310531363,0.147060062,0.190260827,1.920306513,0.021358975,0.005567053,0.312934524,0.722664778,0.715510054,0.000207995,0.385327071,0.747746134,0.1143346,0.000606958,0.711709193,1.342633065,2.526007668,-0.082666883,1267142
-0.6,-0.927413571,0.239133202,0.139232379,0.000108261,0.006605345,0.017022076,0.025354687,0.252834824,0.174006993,0.195305872,1.266716274,0.012152599,0.007004459,0.349787192,0.735830838,0.729660861,0.000237462,0.438224121,0.685634497,0.107376628,0.001849606,0.413546699,0.499370089,2.104269692,0.053427065,1267142
-0.6,-0.851759097,0.231440475,0.141474488,0.00015194,0.006661728,0.014474595,0.01732391,0.308229072,0.159878298,0.191119877,1.97317217,0.012274414,0.005166462,0.281271087,0.729979138,0.654662435,0.000235036,0.46498804,0.778169593,0.100652661,0.001080744,0.18880152,0.247762438,2.518000832,-0.047638161,1267142
-0.6,-0.88219965,0.733854892,0.149150291,0.00011265,0.006921207,0.015061242,0.020959435,0.298074858,0.136248136,0.171808676,1.444503802,0.011614667,0.00619793,0.29725202,0.73488219,0.717056793,0.000250141,0.439111816,0.717193719,0.10749518,0.001944627,0.380843199,0.583268457,2.619930249,-0.009899326,1267142
-0.6,-0.924318711,0.13672598,0.13275058,0.000132352,0.007176671,0.010837374,0.023710222,0.260450481,0.171685631,0.20445344,1.724655507,0.022071847,0.005628026,0.326184184,0.740957052,0.705355713,0.00025797,0.393963216,0.672606121,0.104961275,0.00052906,0.430594675,0.841874909,2.131605388,-0.065258459,1267142
-0.6,-0.890632313,0.028954403,0.130096048,0.000108554,0.00683353,0.016060143,0.027516203,0.249256924,0.174272104,0.198337021,1.381659798,0.01156109,0.00699783,0.345611735,0.743078537,0.71864677,0.000238984,0.39501344,0.681840109,0.105156031,0.002045884,0.401993507,0.470741264,2.045652479,-0.026344316,1267142
-0.6,-0.945920939,-0.345777984,0.141161539,0.000159059,0.005479099,0.011557955,0.022144586,0.313457306,0.168927745,0.193113693,1.828153981,0.009308862,0.005800488,0.312644013,0.733970782,0.681564137,0.000210283,0.388388233,0.78597264,0.112926815,0.002817937,0.778663808,1.483128313,2.113465009,-0.116330979,1267142
-0.6,-0.928997505,-0.02722124,0.146566007,0.000190739,0.005228434,0.011516043,0.016000671,0.264539676,0.163179544,0.203318666,1.811540463,0.016317908,0.005318389,0.290674895,0.72048832,0.689609862,0.000217639,0.394003176,0.768750527,0.126820836,0.001088305,0.405829237,0.421789025,2.346877138,-0.157768162,1267142
-0.6,-0.934424041,0.158449433,0.147558548,0.000102012,0.006381682,0.011776307,0.028213785,0.254325277,0.185413647,0.22594196,1.662425067,0.018296414,0.005396891,0.302416097,0.745986788,0.732708826,0.000261529,0.374117538,0.696470835,0.116192857,0.000715402,0.344817068,0.50806415,2.033783367,-0.095319711,1267142
-0.6,-0.918821075,0.850881145,0.148028387,0.0001074,0.006044433,0.015130482,0.022843078,0.28185796,0.145510402,0.179546553,1.419410565,0.015916193,0.006775745,0.314422125,0.732099497,0.699613793,0.000245552,0.43014226,0.732575338,0.111009151,0.001408961,0.480766691,0.661348674,2.42938468,-0.020014021,1267142
-0.6,-0.851620029,0.202491106,0.138035134,0.00014858,0.006569502,0.014750617,0.016487519,0.314621477,0.161283214,0.194852028,1.98269415,0.014585744,0.005738328,0.281355637,0.732626526,0.677413283,0.000220124,0.458955162,0.784331591,0.1048763,0.000721826,0.190266715,0.247811213,2.499251444,-0.044352088,1267142
-0.6,-0.918989916,0.779699129,0.148111535,0.000110219,0.006542352,0.015234337,0.02193,0.278322485,0.14282399,0.174134948,1.427813444,0.017472838,0.00633263,0.308626796,0.735992842,0.723806175,0.000247927,0.444896171,0.730732095,0.110301992,0.001223667,0.51393647,0.633269916,2.488301804,0.002760808,1267142
-0.6,-0.844985347,0.163275934,0.101256858,0.000142423,0.005549672,0.014513676,0.015906957,0.274321703,0.14739692,0.191994448,1.100789322,0.008648019,0.006252819,0.286624834,0.739406406,0.707285615,0.000226225,0.389453928,0.777248478,0.111096438,0.002781395,0.2654259,0.499157539,2.416970852,-0.071700565,1267142
-0.6,-0.851725276,-0.433643222,0.14551398,0.00018822,0.007126352,0.01167622,0.017142506,0.299882566,0.161163396,0.211995867,1.860786575,0.006951086,0.005377008,0.282484547,0.735258631,0.666270226,0.000194591,0.405957814,0.791514741,0.112905532,0.002665352,0.131883185,0.297757681,2.400830109,-0.062695927,1267142
-0.6,-0.895502131,-0.146999375,0.14751403,0.000152375,0.007044607,0.013612144,0.015377557,0.305689372,0.158288664,0.200081311,1.963148877,0.006442004,0.005367425,0.273353397,0.724959096,0.686398577,0.000197794,0.404444468,0.784709682,0.106806989,0.002692178,0.317764354,0.378561572,2.431363483,-0.01363774,1267142
-0.6,-0.815089032,-0.244259325,0.141374606,0.000177163,0.007378432,0.012429696,0.017696098,0.306762409,0.160916163,0.209117159,1.878061918,0.011027087,0.005009127,0.268293239,0.744302631,0.671444191,0.000198698,0.416654577,0.786233539,0.110691715,0.001607479,0.134982605,0.261778349,2.470654566,-0.097807097,1267142
-0.6,-0.919342021,0.227241277,0.13642778,0.000110526,0.006539369,0.017068762,0.026672985,0.252143839,0.170636378,0.193288299,1.302262251,0.0131531,0.006944104,0.350930827,0.735085971,0.728129576,0.000239792,0.427629251,0.6758692,0.108199372,0.001848871,0.41726086,0.541955872,2.11074256,0.040111815,1267142
-0.6,-0.912386084,0.602213761,0.120645377,0.000127798,0.005519335,0.016964299,0.018059492,0.228130795,0.160122037,0.178888562,1.725226241,0.014010756,0.005480496,0.256773643,0.746091993,0.736807115,0.00023747,0.46127554,0.64611719,0.103419658,0.00192818,0.425314798,0.724826597,2.290935936,-0.030045511,1267142
-0.6,-0.865440617,0.161068895,0.144071863,0.000164034,0.006679835,0.013853088,0.014914115,0.31265016,0.164687577,0.181790423,1.80998751,0.007937052,0.005234256,0.281986912,0.736412768,0.648424896,0.00023633,0.49629844,0.768816603,0.110089638,0.002283748,0.165169921,0.260557817,2.351843336,-0.040046,1267142
-0.6,-0.914384363,-0.07175297,0.129237862,0.000191463,0.005671125,0.011416361,0.018487986,0.26812842,0.165930044,0.202556886,1.796524372,0.015865179,0.005918603,0.288003682,0.728432871,0.692781195,0.000205036,0.388080819,0.76476491,0.117004495,0.00153572,0.433301175,0.483148507,2.257161394,-0.08570045,1267142
-0.6,-0.942666032,0.606259181,0.122729627,0.000154014,0.007779306,0.017668331,0.02237721,0.246905671,0.147912793,0.202052631,1.887025693,0.010441156,0.005838876,0.274777302,0.749406154,0.717322778,0.000228926,0.443896963,0.608590026,0.109238543,0.001786088,0.342013524,0.707808702,2.606733903,-0.010956176,1267142
-0.6,-0.895502131,-0.146999375,0.14751403,0.000152375,0.007044607,0.013612144,0.015377557,0.305689372,0.158288664,0.200081311,1.963148877,0.006442004,0.005367425,0.273353397,0.724959096,0.686398577,0.000197794,0.404444468,0.784709682,0.106806989,0.002692178,0.317764354,0.378561572,2.431363483,-0.01363774,1267142
